value,occurrence_count,recipe_support,recipe_prevalence,occurrences_per_supporting_recipe,examples
about 1 8 teaspoon pepper,3,3,6.255e-05,1.0,about 1 8 teaspoon pepper | about 1 8 teaspoon pepper | about 1 8 teaspoon pepper
warm 2 milk,3,3,6.255e-05,1.0,warm 2 milk | warm 2 milk | warm 2 milk
lipton recipe secrets onion soup mix,3,3,6.255e-05,1.0,lipton recipe secrets onion soup mix | lipton recipe secrets onion soup mix | lipton recipe secrets onion soup mix
chunk light tuna in water,3,3,6.255e-05,1.0,chunk light tuna in water | chunk light tuna in water | chunk light tuna in water
active yeast,3,3,6.255e-05,1.0,active yeast | active yeast | active yeast
bulk hot italian sausage,3,3,6.255e-05,1.0,bulk hot italian sausage | bulk hot italian sausage | bulk hot italian sausage
rose syrup,3,3,6.255e-05,1.0,rose syrup | rose syrup | rose syrup
turkey bacon slices,3,3,6.255e-05,1.0,turkey bacon slices | turkey bacon slices | turkey bacon slices
size zucchini,3,3,6.255e-05,1.0,size zucchini | size zucchini | size zucchini
chives or scallions,3,3,6.255e-05,1.0,chives or scallions | chives or scallions | chives or scallions
hot angel hair,3,3,6.255e-05,1.0,hot angel hair | hot angel hair | hot angel hair
root beer,3,3,6.255e-05,1.0,root beer | root beer | root beer
cold lard,3,3,6.255e-05,1.0,cold lard | cold lard | cold lard
quince,3,3,6.255e-05,1.0,quince | quince | quince
california avocados,3,3,6.255e-05,1.0,california avocados | california avocados | california avocados
small shell pasta,3,3,6.255e-05,1.0,small shell pasta | small shell pasta | small shell pasta
green chili slit,3,3,6.255e-05,1.0,green chili slit | green chili slit | green chili slit
vanilla powder,3,3,6.255e-05,1.0,vanilla powder | vanilla powder | vanilla powder
white bread crumbs,3,3,6.255e-05,1.0,white bread crumbs | white bread crumbs | white bread crumbs
yellow fleshed potatoes,3,3,6.255e-05,1.0,yellow fleshed potatoes | yellow fleshed potatoes | yellow fleshed potatoes
red chard,3,3,6.255e-05,1.0,red chard | red chard | red chard
salmon filet,3,3,6.255e-05,1.0,salmon filet | salmon filet | salmon filet
gallon apple cider,3,3,6.255e-05,1.0,gallon apple cider | gallon apple cider | gallon apple cider
shoepeg corn,3,3,6.255e-05,1.0,shoepeg corn | shoepeg corn | shoepeg corn
round red potatoes,3,3,6.255e-05,1.0,round red potatoes | round red potatoes | round red potatoes
buckwheat,3,3,6.255e-05,1.0,buckwheat | buckwheat | buckwheat
fast rising active dry yeast,2,2,4.17e-05,1.0,fast rising active dry yeast | fast rising active dry yeast
garlic 4 cloves,2,2,4.17e-05,1.0,garlic 4 cloves | garlic 4 cloves
day old rustic bread,2,2,4.17e-05,1.0,day old rustic bread | day old rustic bread
torn lettuce,2,2,4.17e-05,1.0,torn lettuce | torn lettuce
herbes de provence or italian seasoning,2,2,4.17e-05,1.0,herbes de provence or italian seasoning | herbes de provence or italian seasoning
beef stock or canned beef broth,2,2,4.17e-05,1.0,beef stock or canned beef broth | beef stock or canned beef broth
hot or sweet italian fennel sausage,2,2,4.17e-05,1.0,hot or sweet italian fennel sausage | hot or sweet italian fennel sausage
kidney beans and,2,2,4.17e-05,1.0,kidney beans and | kidney beans and
calvados or other brandy,2,2,4.17e-05,1.0,calvados or other brandy | calvados or other brandy
quart cold water,2,2,4.17e-05,1.0,quart cold water | quart cold water
to 17 pound turkey giblets removed,2,2,4.17e-05,1.0,to 17 pound turkey giblets removed | to 17 pound turkey giblets removed
yaki nori,2,2,4.17e-05,1.0,yaki nori | yaki nori
grapefruit zest,2,2,4.17e-05,1.0,grapefruit zest | grapefruit zest
size ripe tomatoes,2,2,4.17e-05,1.0,size ripe tomatoes | size ripe tomatoes
round sandwich buns,2,2,4.17e-05,1.0,round sandwich buns | round sandwich buns
tri colored spiral pasta,2,2,4.17e-05,1.0,tri colored spiral pasta | tri colored spiral pasta
about 1 4 cup olive oil,2,2,4.17e-05,1.0,about 1 4 cup olive oil | about 1 4 cup olive oil
garlic cloves and,2,2,4.17e-05,1.0,garlic cloves and | garlic cloves and
whole wheat flatbreads,2,2,4.17e-05,1.0,whole wheat flatbreads | whole wheat flatbreads
skim or milk,2,2,4.17e-05,1.0,skim or milk | skim or milk
garnish avocado,2,2,4.17e-05,1.0,garnish avocado | garnish avocado
ounce package mushrooms,2,2,4.17e-05,1.0,ounce package mushrooms | ounce package mushrooms
gray salt,2,2,4.17e-05,1.0,gray salt | gray salt
purple onions,2,2,4.17e-05,1.0,purple onions | purple onions
sucralose,2,2,4.17e-05,1.0,sucralose | sucralose
instant cheesecake pudding mix,2,2,4.17e-05,1.0,instant cheesecake pudding mix | instant cheesecake pudding mix
thickly pancetta,2,2,4.17e-05,1.0,thickly pancetta | thickly pancetta
good dry white wine,2,2,4.17e-05,1.0,good dry white wine | good dry white wine
thumb ginger,2,2,4.17e-05,1.0,thumb ginger | thumb ginger
dozen cherry tomatoes,2,2,4.17e-05,1.0,dozen cherry tomatoes | dozen cherry tomatoes
t pine nuts,2,2,4.17e-05,1.0,t pine nuts | t pine nuts
ounce package banana leaves,2,2,4.17e-05,1.0,ounce package banana leaves | ounce package banana leaves
jalapeno or serrano chiles,2,2,4.17e-05,1.0,jalapeno or serrano chiles | jalapeno or serrano chiles
roasted anaheim chiles,2,2,4.17e-05,1.0,roasted anaheim chiles | roasted anaheim chiles
italian style tomato paste,2,2,4.17e-05,1.0,italian style tomato paste | italian style tomato paste
yellow or red bell peppers,2,2,4.17e-05,1.0,yellow or red bell peppers | yellow or red bell peppers
torn mixed salad greens,2,2,4.17e-05,1.0,torn mixed salad greens | torn mixed salad greens
fat free italian salad dressing,2,2,4.17e-05,1.0,fat free italian salad dressing | fat free italian salad dressing
carrot greens,2,2,4.17e-05,1.0,carrot greens | carrot greens
yucca,2,2,4.17e-05,1.0,yucca | yucca
plus 1 teaspoon pure maple syrup,2,2,4.17e-05,1.0,plus 1 teaspoon pure maple syrup | plus 1 teaspoon pure maple syrup
a pinch of ground nutmeg,2,2,4.17e-05,1.0,a pinch of ground nutmeg | a pinch of ground nutmeg
mizkan rice vinegar,2,2,4.17e-05,1.0,mizkan rice vinegar | mizkan rice vinegar
cups baby spinach,2,2,4.17e-05,1.0,cups baby spinach | cups baby spinach
chocolate sprinkles,2,2,4.17e-05,1.0,chocolate sprinkles | chocolate sprinkles
thin,2,2,4.17e-05,1.0,thin | thin
c tortilla strips,2,2,4.17e-05,1.0,c tortilla strips | c tortilla strips
whole mustard seeds,2,2,4.17e-05,1.0,whole mustard seeds | whole mustard seeds
refrigerated dinner rolls,2,2,4.17e-05,1.0,refrigerated dinner rolls | refrigerated dinner rolls
cornmeal for rolling,2,2,4.17e-05,1.0,cornmeal for rolling | cornmeal for rolling
your favorite marinara style pasta sauce,2,2,4.17e-05,1.0,your favorite marinara style pasta sauce | your favorite marinara style pasta sauce
whole hard boiled eggs,2,2,4.17e-05,1.0,whole hard boiled eggs | whole hard boiled eggs
dry linguini,2,2,4.17e-05,1.0,dry linguini | dry linguini
peach schnapps,2,2,4.17e-05,1.0,peach schnapps | peach schnapps
creole or cajun seasoning,2,2,4.17e-05,1.0,creole or cajun seasoning | creole or cajun seasoning
baby calamari,2,2,4.17e-05,1.0,baby calamari | baby calamari
tbs chilled butter,2,2,4.17e-05,1.0,tbs chilled butter | tbs chilled butter
container strawberries,2,2,4.17e-05,1.0,container strawberries | container strawberries
garnishes mint sprigs,2,2,4.17e-05,1.0,garnishes mint sprigs | garnishes mint sprigs
multicolored cherry tomatoes,2,2,4.17e-05,1.0,multicolored cherry tomatoes | multicolored cherry tomatoes
chilean sea bass,2,2,4.17e-05,1.0,chilean sea bass | chilean sea bass
vegetarian worcestershire sauce,2,2,4.17e-05,1.0,vegetarian worcestershire sauce | vegetarian worcestershire sauce
recipe classic egg pasta,2,2,4.17e-05,1.0,recipe classic egg pasta | recipe classic egg pasta
sweet hungarian paprika,2,2,4.17e-05,1.0,sweet hungarian paprika | sweet hungarian paprika
thinly belgian endive,2,2,4.17e-05,1.0,thinly belgian endive | thinly belgian endive
herb dressing,2,2,4.17e-05,1.0,herb dressing | herb dressing
pints blueberries,2,2,4.17e-05,1.0,pints blueberries | pints blueberries
baby broccoli,2,2,4.17e-05,1.0,baby broccoli | baby broccoli
sweet soy,2,2,4.17e-05,1.0,sweet soy | sweet soy
boiled green peas,2,2,4.17e-05,1.0,boiled green peas | boiled green peas
and tomato,2,2,4.17e-05,1.0,and tomato | and tomato
asian eggplant,2,2,4.17e-05,1.0,asian eggplant | asian eggplant
few sprigs thyme,2,2,4.17e-05,1.0,few sprigs thyme | few sprigs thyme
whole wheat pita rounds,2,2,4.17e-05,1.0,whole wheat pita rounds | whole wheat pita rounds
fried wonton strips,2,2,4.17e-05,1.0,fried wonton strips | fried wonton strips
soybean oil,2,2,4.17e-05,1.0,soybean oil | soybean oil
calamari rings,2,2,4.17e-05,1.0,calamari rings | calamari rings
mint or cilantro,2,2,4.17e-05,1.0,mint or cilantro | mint or cilantro
whole milk plain yogurt,2,2,4.17e-05,1.0,whole milk plain yogurt | whole milk plain yogurt
fire roasted tomatoes with garlic,2,2,4.17e-05,1.0,fire roasted tomatoes with garlic | fire roasted tomatoes with garlic
clementines or 2 navel oranges,2,2,4.17e-05,1.0,clementines or 2 navel oranges | clementines or 2 navel oranges
plus 3 tablespoons granulated sugar,2,2,4.17e-05,1.0,plus 3 tablespoons granulated sugar | plus 3 tablespoons granulated sugar
grand marnier or other orange liqueur,2,2,4.17e-05,1.0,grand marnier or other orange liqueur | grand marnier or other orange liqueur
squeezed orange juice,2,2,4.17e-05,1.0,squeezed orange juice | squeezed orange juice
oz can green chilies,2,2,4.17e-05,1.0,oz can green chilies | oz can green chilies
your favorite enchilada sauce,2,2,4.17e-05,1.0,your favorite enchilada sauce | your favorite enchilada sauce
about 1 1 2 tsp kosher salt,2,2,4.17e-05,1.0,about 1 1 2 tsp kosher salt | about 1 1 2 tsp kosher salt
yukon gold or red potatoes,2,2,4.17e-05,1.0,yukon gold or red potatoes | yukon gold or red potatoes
splash of lime juice,2,2,4.17e-05,1.0,splash of lime juice | splash of lime juice
ounce can artichoke hearts in water,2,2,4.17e-05,1.0,ounce can artichoke hearts in water | ounce can artichoke hearts in water
olive oil or canola oil,2,2,4.17e-05,1.0,olive oil or canola oil | olive oil or canola oil
ghee clarified butter,2,2,4.17e-05,1.0,ghee clarified butter | ghee clarified butter
kewra essence,2,2,4.17e-05,1.0,kewra essence | kewra essence
gms basmati rice,2,2,4.17e-05,1.0,gms basmati rice | gms basmati rice
knorr pasta side,2,2,4.17e-05,1.0,knorr pasta side | knorr pasta side
jar pimento peppers,2,2,4.17e-05,1.0,jar pimento peppers | jar pimento peppers
dutch process unsweetened cocoa,2,2,4.17e-05,1.0,dutch process unsweetened cocoa | dutch process unsweetened cocoa
jar marshmallow cream,2,2,4.17e-05,1.0,jar marshmallow cream | jar marshmallow cream
tex mex seasoning blend,2,2,4.17e-05,1.0,tex mex seasoning blend | tex mex seasoning blend
sweet italian pork sausage,2,2,4.17e-05,1.0,sweet italian pork sausage | sweet italian pork sausage
c your favorite marinara sauce,2,2,4.17e-05,1.0,c your favorite marinara sauce | c your favorite marinara sauce
serrano or jalapeno pepper,2,2,4.17e-05,1.0,serrano or jalapeno pepper | serrano or jalapeno pepper
all butter pastry dough,2,2,4.17e-05,1.0,all butter pastry dough | all butter pastry dough
gloves of garlic,2,2,4.17e-05,1.0,gloves of garlic | gloves of garlic
ounce package spinach,2,2,4.17e-05,1.0,ounce package spinach | ounce package spinach
ground gingersnap cookies,2,2,4.17e-05,1.0,ground gingersnap cookies | ground gingersnap cookies
roast duck meat,2,2,4.17e-05,1.0,roast duck meat | roast duck meat
lightly,2,2,4.17e-05,1.0,lightly | lightly
snipped parsley,2,2,4.17e-05,1.0,snipped parsley | snipped parsley
cayenne red chili powder,2,2,4.17e-05,1.0,cayenne red chili powder | cayenne red chili powder
assorted firm ripe pears,2,2,4.17e-05,1.0,assorted firm ripe pears | assorted firm ripe pears
clams in the shell,2,2,4.17e-05,1.0,clams in the shell | clams in the shell
salmon sashimi,2,2,4.17e-05,1.0,salmon sashimi | salmon sashimi
whole white peppercorns,2,2,4.17e-05,1.0,whole white peppercorns | whole white peppercorns
instant dry polenta,2,2,4.17e-05,1.0,instant dry polenta | instant dry polenta
iceberg lettuce leaves,2,2,4.17e-05,1.0,iceberg lettuce leaves | iceberg lettuce leaves
whole oats,2,2,4.17e-05,1.0,whole oats | whole oats
ragu cheesi classic alfredo sauc,2,2,4.17e-05,1.0,ragu cheesi classic alfredo sauc | ragu cheesi classic alfredo sauc
pureed garlic,2,2,4.17e-05,1.0,pureed garlic | pureed garlic
pureed ginger,2,2,4.17e-05,1.0,pureed ginger | pureed ginger
adobo sauce from can,2,2,4.17e-05,1.0,adobo sauce from can | adobo sauce from can
smoked gouda grits,2,2,4.17e-05,1.0,smoked gouda grits | smoked gouda grits
or more sage leaves,2,2,4.17e-05,1.0,or more sage leaves | or more sage leaves
loaf bread dough,2,2,4.17e-05,1.0,loaf bread dough | loaf bread dough
chipotle chile from can,2,2,4.17e-05,1.0,chipotle chile from can | chipotle chile from can
dry corn bread mix,2,2,4.17e-05,1.0,dry corn bread mix | dry corn bread mix
epazote sprig,2,2,4.17e-05,1.0,epazote sprig | epazote sprig
burrito sized tortillas,2,2,4.17e-05,1.0,burrito sized tortillas | burrito sized tortillas
fat free balsamic vinaigrette,2,2,4.17e-05,1.0,fat free balsamic vinaigrette | fat free balsamic vinaigrette
warm,2,2,4.17e-05,1.0,warm | warm
texas style chili powder blend,2,2,4.17e-05,1.0,texas style chili powder blend | texas style chili powder blend
mole paste,2,2,4.17e-05,1.0,mole paste | mole paste
pound chuck roast,2,2,4.17e-05,1.0,pound chuck roast | pound chuck roast
pure ancho chile powder,2,2,4.17e-05,1.0,pure ancho chile powder | pure ancho chile powder
or pickled jalapeno chiles,2,2,4.17e-05,1.0,or pickled jalapeno chiles | or pickled jalapeno chiles
tortilla chips or oyster crackers,2,2,4.17e-05,1.0,tortilla chips or oyster crackers | tortilla chips or oyster crackers
beef shoulder roast,2,2,4.17e-05,1.0,beef shoulder roast | beef shoulder roast
hot water for grinding,2,2,4.17e-05,1.0,hot water for grinding | hot water for grinding
instant or rapid rise yeast,2,2,4.17e-05,1.0,instant or rapid rise yeast | instant or rapid rise yeast
plus 4 tablespoons olive oil,2,2,4.17e-05,1.0,plus 4 tablespoons olive oil | plus 4 tablespoons olive oil
flour for dredging,2,2,4.17e-05,1.0,flour for dredging | flour for dredging
red chile pepper flakes,2,2,4.17e-05,1.0,red chile pepper flakes | red chile pepper flakes
c torn leaves of tuscan kale,2,2,4.17e-05,1.0,c torn leaves of tuscan kale | c torn leaves of tuscan kale
yellow or red onion,2,2,4.17e-05,1.0,yellow or red onion | yellow or red onion
conimex kruidenmix voor bahmi,2,2,4.17e-05,1.0,conimex kruidenmix voor bahmi | conimex kruidenmix voor bahmi
milk or half and half,2,2,4.17e-05,1.0,milk or half and half | milk or half and half
splash of white wine,2,2,4.17e-05,1.0,splash of white wine | splash of white wine
ounce cans tomato sauce,2,2,4.17e-05,1.0,ounce cans tomato sauce | ounce cans tomato sauce
chex cereal,2,2,4.17e-05,1.0,chex cereal | chex cereal
herb vinaigrette,2,2,4.17e-05,1.0,herb vinaigrette | herb vinaigrette
carob,2,2,4.17e-05,1.0,carob | carob
sazon goya with coriander and annatto,2,2,4.17e-05,1.0,sazon goya with coriander and annatto | sazon goya with coriander and annatto
dill pickle juice,2,2,4.17e-05,1.0,dill pickle juice | dill pickle juice
fillets salmon,2,2,4.17e-05,1.0,fillets salmon | fillets salmon
thyme or 1 teaspoon thyme,2,2,4.17e-05,1.0,thyme or 1 teaspoon thyme | thyme or 1 teaspoon thyme
olive or vegetable oil cooking spray,2,2,4.17e-05,1.0,olive or vegetable oil cooking spray | olive or vegetable oil cooking spray
sago,2,2,4.17e-05,1.0,sago | sago
loaf rye bread,2,2,4.17e-05,1.0,loaf rye bread | loaf rye bread
low sodium chicken,2,2,4.17e-05,1.0,low sodium chicken | low sodium chicken
arborio rice or medium grain white rice,2,2,4.17e-05,1.0,arborio rice or medium grain white rice | arborio rice or medium grain white rice
c unbleached all purpose flour,2,2,4.17e-05,1.0,c unbleached all purpose flour | c unbleached all purpose flour
corn meal for dusting,2,2,4.17e-05,1.0,corn meal for dusting | corn meal for dusting
c vegetable broth or water,2,2,4.17e-05,1.0,c vegetable broth or water | c vegetable broth or water
canned chipotle chile peppers in adobo sauce,2,2,4.17e-05,1.0,canned chipotle chile peppers in adobo sauce | canned chipotle chile peppers in adobo sauce
serrano chili pepper,2,2,4.17e-05,1.0,serrano chili pepper | serrano chili pepper
lime wedge,2,2,4.17e-05,1.0,lime wedge | lime wedge
qt chicken stock,2,2,4.17e-05,1.0,qt chicken stock | qt chicken stock
butternut,2,2,4.17e-05,1.0,butternut | butternut
turmeric ground,2,2,4.17e-05,1.0,turmeric ground | turmeric ground
few dashes tabasco,2,2,4.17e-05,1.0,few dashes tabasco | few dashes tabasco
wish bone ranch dressing,2,2,4.17e-05,1.0,wish bone ranch dressing | wish bone ranch dressing
to 2 tablespoons sugar,2,2,4.17e-05,1.0,to 2 tablespoons sugar | to 2 tablespoons sugar
canned pumpkin puree,2,2,4.17e-05,1.0,canned pumpkin puree | canned pumpkin puree
to 8 inch flour tortillas,2,2,4.17e-05,1.0,to 8 inch flour tortillas | to 8 inch flour tortillas
ounce can beef broth,2,2,4.17e-05,1.0,ounce can beef broth | ounce can beef broth
mint jelly,2,2,4.17e-05,1.0,mint jelly | mint jelly
smoked streaky bacon,2,2,4.17e-05,1.0,smoked streaky bacon | smoked streaky bacon
bittersweet baking chocolate squares,2,2,4.17e-05,1.0,bittersweet baking chocolate squares | bittersweet baking chocolate squares
corn kernals,2,2,4.17e-05,1.0,corn kernals | corn kernals
toffee baking bits,2,2,4.17e-05,1.0,toffee baking bits | toffee baking bits
bottled roasted whole chestnuts,2,2,4.17e-05,1.0,bottled roasted whole chestnuts | bottled roasted whole chestnuts
cm root ginger,2,2,4.17e-05,1.0,cm root ginger | cm root ginger
squeeze lime juice,2,2,4.17e-05,1.0,squeeze lime juice | squeeze lime juice
asian basil,2,2,4.17e-05,1.0,asian basil | asian basil
culantro,2,2,4.17e-05,1.0,culantro | culantro
handful of parsley,2,2,4.17e-05,1.0,handful of parsley | handful of parsley
whole or turkey,2,2,4.17e-05,1.0,whole or turkey | whole or turkey
lean stew beef,2,2,4.17e-05,1.0,lean stew beef | lean stew beef
plus 1 tablespoon molasses,2,2,4.17e-05,1.0,plus 1 tablespoon molasses | plus 1 tablespoon molasses
knob of ginger,2,2,4.17e-05,1.0,knob of ginger | knob of ginger
fast cooking recipe long grain and wild rice,2,2,4.17e-05,1.0,fast cooking recipe long grain and wild rice | fast cooking recipe long grain and wild rice
a large pinch of asafoetida,2,2,4.17e-05,1.0,a large pinch of asafoetida | a large pinch of asafoetida
approx 1 tsp ginger,2,2,4.17e-05,1.0,approx 1 tsp ginger | approx 1 tsp ginger
black pepper seeds,2,2,4.17e-05,1.0,black pepper seeds | black pepper seeds
brown rice or brown rice rava,2,2,4.17e-05,1.0,brown rice or brown rice rava | brown rice or brown rice rava
whole grain italian bread,2,2,4.17e-05,1.0,whole grain italian bread | whole grain italian bread
barbecue rub,2,2,4.17e-05,1.0,barbecue rub | barbecue rub
good,2,2,4.17e-05,1.0,good | good
pea eggplants,2,2,4.17e-05,1.0,pea eggplants | pea eggplants
butter pecan ice cream,2,2,4.17e-05,1.0,butter pecan ice cream | butter pecan ice cream
plus 6 tablespoons butter,2,2,4.17e-05,1.0,plus 6 tablespoons butter | plus 6 tablespoons butter
dark or light brown sugar,2,2,4.17e-05,1.0,dark or light brown sugar | dark or light brown sugar
amaretti,2,2,4.17e-05,1.0,amaretti | amaretti
pickling spices,2,2,4.17e-05,1.0,pickling spices | pickling spices
stick butter plus additional for greasing pan,2,2,4.17e-05,1.0,stick butter plus additional for greasing pan | stick butter plus additional for greasing pan
about 1 cup sugar,2,2,4.17e-05,1.0,about 1 cup sugar | about 1 cup sugar
caramelized sweet onions,2,2,4.17e-05,1.0,caramelized sweet onions | caramelized sweet onions
jalapeno from a jar,2,2,4.17e-05,1.0,jalapeno from a jar | jalapeno from a jar
shelled and pistachios,2,2,4.17e-05,1.0,shelled and pistachios | shelled and pistachios
del monte mangos,2,2,4.17e-05,1.0,del monte mangos | del monte mangos
bottle of chunky salsa,2,2,4.17e-05,1.0,bottle of chunky salsa | bottle of chunky salsa
thinly garlic,2,2,4.17e-05,1.0,thinly garlic | thinly garlic
natural cane sugar,2,2,4.17e-05,1.0,natural cane sugar | natural cane sugar
tbsps of mexican crema or 2 tbsp sour cream that have been slightly diluted with water,2,2,4.17e-05,1.0,tbsps of mexican crema or 2 tbsp sour cream that have been slightly diluted with water | tbsps of mexican crema or 2 tbsp sour cream that have been slightly diluted with water
low salt tortilla chips,2,2,4.17e-05,1.0,low salt tortilla chips | low salt tortilla chips
dill seeds,2,2,4.17e-05,1.0,dill seeds | dill seeds
tbls mexican oregano,2,2,4.17e-05,1.0,tbls mexican oregano | tbls mexican oregano
shiratamako,2,2,4.17e-05,1.0,shiratamako | shiratamako
plus 1 teaspoon salt,2,2,4.17e-05,1.0,plus 1 teaspoon salt | plus 1 teaspoon salt
powdered sugar glaze,2,2,4.17e-05,1.0,powdered sugar glaze | powdered sugar glaze
clementine sections,2,2,4.17e-05,1.0,clementine sections | clementine sections
garnish herb sprigs,2,2,4.17e-05,1.0,garnish herb sprigs | garnish herb sprigs
corn oil or vegetable oil for frying,2,2,4.17e-05,1.0,corn oil or vegetable oil for frying | corn oil or vegetable oil for frying
beef broth or vegetable broth,2,2,4.17e-05,1.0,beef broth or vegetable broth | beef broth or vegetable broth
ground pasilla chile pepper,2,2,4.17e-05,1.0,ground pasilla chile pepper | ground pasilla chile pepper
can petite tomatoes,2,2,4.17e-05,1.0,can petite tomatoes | can petite tomatoes
mint pesto,2,2,4.17e-05,1.0,mint pesto | mint pesto
bouquet garni made of 8 sprigs thyme,2,2,4.17e-05,1.0,bouquet garni made of 8 sprigs thyme | bouquet garni made of 8 sprigs thyme
sage leaves or 1 tablespoon chives,2,2,4.17e-05,1.0,sage leaves or 1 tablespoon chives | sage leaves or 1 tablespoon chives
black eyed peas with liquid,2,2,4.17e-05,1.0,black eyed peas with liquid | black eyed peas with liquid
tbs cumin seeds,2,2,4.17e-05,1.0,tbs cumin seeds | tbs cumin seeds
whole chicken breasts,2,2,4.17e-05,1.0,whole chicken breasts | whole chicken breasts
ground szechuan peppercorns,2,2,4.17e-05,1.0,ground szechuan peppercorns | ground szechuan peppercorns
tapatio hot sauce,2,2,4.17e-05,1.0,tapatio hot sauce | tapatio hot sauce
prebaked 12 inch pizza crust,2,2,4.17e-05,1.0,prebaked 12 inch pizza crust | prebaked 12 inch pizza crust
ready to serve salad greens,2,2,4.17e-05,1.0,ready to serve salad greens | ready to serve salad greens
a pinch of oregano,2,2,4.17e-05,1.0,a pinch of oregano | a pinch of oregano
stick of celery,2,2,4.17e-05,1.0,stick of celery | stick of celery
turkey pan drippings,2,2,4.17e-05,1.0,turkey pan drippings | turkey pan drippings
yellow and 1 green pepper,2,2,4.17e-05,1.0,yellow and 1 green pepper | yellow and 1 green pepper
a small handful of chives,2,2,4.17e-05,1.0,a small handful of chives | a small handful of chives
plus 2 tablespoons half and half,2,2,4.17e-05,1.0,plus 2 tablespoons half and half | plus 2 tablespoons half and half
oz can unsweetened coconut milk,2,2,4.17e-05,1.0,oz can unsweetened coconut milk | oz can unsweetened coconut milk
inch long cinnamon stick,2,2,4.17e-05,1.0,inch long cinnamon stick | inch long cinnamon stick
wild lime leaves,2,2,4.17e-05,1.0,wild lime leaves | wild lime leaves
plus 1 teaspoon light corn syrup,2,2,4.17e-05,1.0,plus 1 teaspoon light corn syrup | plus 1 teaspoon light corn syrup
becel dieetolie,2,2,4.17e-05,1.0,becel dieetolie | becel dieetolie
inch ginger piece,2,2,4.17e-05,1.0,inch ginger piece | inch ginger piece
size potatoes,2,2,4.17e-05,1.0,size potatoes | size potatoes
boar,2,2,4.17e-05,1.0,boar | boar
habanero sauce,2,2,4.17e-05,1.0,habanero sauce | habanero sauce
best foods mayonnaise dressing with extra virgin olive oil,2,2,4.17e-05,1.0,best foods mayonnaise dressing with extra virgin olive oil | best foods mayonnaise dressing with extra virgin olive oil
green bell pepper small dice,2,2,4.17e-05,1.0,green bell pepper small dice | green bell pepper small dice
red bell pepper small dice,2,2,4.17e-05,1.0,red bell pepper small dice | red bell pepper small dice
cayenne pepper or more,2,2,4.17e-05,1.0,cayenne pepper or more | cayenne pepper or more
rosemary or thyme,2,2,4.17e-05,1.0,rosemary or thyme | rosemary or thyme
breakstone s sour cream,2,2,4.17e-05,1.0,breakstone s sour cream | breakstone s sour cream
golden cauliflower,2,2,4.17e-05,1.0,golden cauliflower | golden cauliflower
thinly pepperoni,2,2,4.17e-05,1.0,thinly pepperoni | thinly pepperoni
oz jar artichoke hearts,2,2,4.17e-05,1.0,oz jar artichoke hearts | oz jar artichoke hearts
milk or buttermilk,2,2,4.17e-05,1.0,milk or buttermilk | milk or buttermilk
or pickled jalapenos,2,2,4.17e-05,1.0,or pickled jalapenos | or pickled jalapenos
unflavored powdered gelatin,2,2,4.17e-05,1.0,unflavored powdered gelatin | unflavored powdered gelatin
candied citron,2,2,4.17e-05,1.0,candied citron | candied citron
seasoned ground turkey,2,2,4.17e-05,1.0,seasoned ground turkey | seasoned ground turkey
assorted cherry tomatoes,2,2,4.17e-05,1.0,assorted cherry tomatoes | assorted cherry tomatoes
mexican style stewed tomatoes with jalapeno peppers and spices,2,2,4.17e-05,1.0,mexican style stewed tomatoes with jalapeno peppers and spices | mexican style stewed tomatoes with jalapeno peppers and spices
green capsicum,2,2,4.17e-05,1.0,green capsicum | green capsicum
maggi fish sauce,2,2,4.17e-05,1.0,maggi fish sauce | maggi fish sauce
canned chipotles in adobo,2,2,4.17e-05,1.0,canned chipotles in adobo | canned chipotles in adobo
chile flakes,2,2,4.17e-05,1.0,chile flakes | chile flakes
peppers and onions,2,2,4.17e-05,1.0,peppers and onions | peppers and onions
sweet white corn,2,2,4.17e-05,1.0,sweet white corn | sweet white corn
leafy vegetable,2,2,4.17e-05,1.0,leafy vegetable | leafy vegetable
a few leaves basil,2,2,4.17e-05,1.0,a few leaves basil | a few leaves basil
or whole cranberries,2,2,4.17e-05,1.0,or whole cranberries | or whole cranberries
bagels,2,2,4.17e-05,1.0,bagels | bagels
semisweet chocolate baking squares,2,2,4.17e-05,1.0,semisweet chocolate baking squares | semisweet chocolate baking squares
veal shank,2,2,4.17e-05,1.0,veal shank | veal shank
c yellow corn,2,2,4.17e-05,1.0,c yellow corn | c yellow corn
thyme leaves or 1 8 tsp thyme leaves,2,2,4.17e-05,1.0,thyme leaves or 1 8 tsp thyme leaves | thyme leaves or 1 8 tsp thyme leaves
black bean spread,2,2,4.17e-05,1.0,black bean spread | black bean spread
quatre epices,2,2,4.17e-05,1.0,quatre epices | quatre epices
each of parsley,2,2,4.17e-05,1.0,each of parsley | each of parsley
whole head of garlic,2,2,4.17e-05,1.0,whole head of garlic | whole head of garlic
crumbled sage,2,2,4.17e-05,1.0,crumbled sage | crumbled sage
turkey stock or chicken stock,2,2,4.17e-05,1.0,turkey stock or chicken stock | turkey stock or chicken stock
self rising white cornmeal,2,2,4.17e-05,1.0,self rising white cornmeal | self rising white cornmeal
broken cashew nuts,2,2,4.17e-05,1.0,broken cashew nuts | broken cashew nuts
organic tomato paste,2,2,4.17e-05,1.0,organic tomato paste | organic tomato paste
